最速下降法:
第1次迭代：f(x_i)=7.711096853704860e-01, x_1=1.612607637710941e-01,x_2=0.000000000000000e+00
第2463次迭代：f(x_i)=2.878170861346673e-04, x_1=9.830604486266681e-01,x_2=9.663146423598690e-01
第2464次迭代：f(x_i)=2.872737097944212e-04, x_1=9.830519697453211e-01,x_2=9.663716866899627e-01
第2465次迭代：f(x_i)=2.867313364711403e-04, x_1=9.830924354699384e-01,x_2=9.663776991517570e-01
第2466次迭代：f(x_i)=2.861902506708006e-04, x_1=9.830839638779633e-01,x_2=9.664345934774249e-01
第2467次迭代：f(x_i)=2.856502232148005e-04, x_1=9.831243317090143e-01,x_2=9.664406053303354e-01
第2468次迭代：f(x_i)=2.851110434909485e-04, x_1=9.831158842029654e-01,x_2=9.664974311453792e-01
第2469次迭代：f(x_i)=2.845728145506502e-04, x_1=9.831561992315100e-01,x_2=9.665034195729763e-01
第2470次迭代：f(x_i)=2.840360703037870e-04, x_1=9.831477497702069e-01,x_2=9.665600730239811e-01
第2471次迭代：f(x_i)=2.835002857059137e-04, x_1=9.831879574769801e-01,x_2=9.665660658409264e-01
第2472次迭代：f(x_i)=2.829653140213977e-04, x_1=9.831795418523239e-01,x_2=9.666226461551687e-01
第2473次迭代：f(x_i)=2.824314300029942e-04, x_1=9.832196871863195e-01,x_2=9.666286206179252e-01
第2474次迭代：f(x_i)=2.818987569521686e-04, x_1=9.832112750060126e-01,x_2=9.666850541223907e-01
第2475次迭代：f(x_i)=2.813671356300108e-04, x_1=9.832513270256762e-01,x_2=9.666910260599021e-01
第2476次迭代：f(x_i)=2.808363816022499e-04, x_1=9.832429377647428e-01,x_2=9.667473752222896e-01
第2477次迭代：f(x_i)=2.803066563655543e-04, x_1=9.832829267493396e-01,x_2=9.667533293479338e-01
第2478次迭代：f(x_i)=2.797781706669240e-04, x_1=9.832745391516405e-01,x_2=9.668095501775895e-01
第2479次迭代：f(x_i)=2.792505307045083e-04, x_1=9.833144486340041e-01,x_2=9.668154949628006e-01
第2480次迭代：f(x_i)=2.787241068852672e-04, x_1=9.833060820403517e-01,x_2=9.668715610729851e-01
第2481次迭代：f(x_i)=2.781989089976607e-04, x_1=9.833458812513869e-01,x_2=9.668775122562219e-01
第2482次迭代：f(x_i)=2.776741723538482e-04, x_1=9.833375451764529e-01,x_2=9.669335518293984e-01
第2483次迭代：f(x_i)=2.771504418825205e-04, x_1=9.833772745288145e-01,x_2=9.669394616641205e-01
第2484次迭代：f(x_i)=2.766272755101380e-04, x_1=9.833689767699658e-01,x_2=9.669954809397815e-01
第2485次迭代：f(x_i)=2.761050174264806e-04, x_1=9.834086513299677e-01,x_2=9.670013523372599e-01
第2486次迭代：f(x_i)=2.755838172821730e-04, x_1=9.834003737924121e-01,x_2=9.670572617700706e-01
第2487次迭代：f(x_i)=2.750636154419729e-04, x_1=9.834399695344687e-01,x_2=9.670631238881355e-01
第2488次迭代：f(x_i)=2.745444519623813e-04, x_1=9.834317055592774e-01,x_2=9.671189270565476e-01
第2489次迭代：f(x_i)=2.740262200020899e-04, x_1=9.834712292489529e-01,x_2=9.671247765585904e-01
第2490次迭代：f(x_i)=2.735091625025137e-04, x_1=9.834629765725466e-01,x_2=9.671804477056433e-01
第2491次迭代：f(x_i)=2.729930854438590e-04, x_1=9.835024119804234e-01,x_2=9.671862929391177e-01
第2492次迭代：f(x_i)=2.724779321090220e-04, x_1=9.834941782977089e-01,x_2=9.672418826039133e-01
第2493次迭代：f(x_i)=2.719636545429430e-04, x_1=9.835335550704225e-01,x_2=9.672477086058986e-01
第2494次迭代：f(x_i)=2.714507436414246e-04, x_1=9.835253265832116e-01,x_2=9.673031261585858e-01
第2495次迭代：f(x_i)=2.709388845639831e-04, x_1=9.835646168804428e-01,x_2=9.673089638606712e-01
第2496次迭代：f(x_i)=2.704282331000811e-04, x_1=9.835563868211424e-01,x_2=9.673642402213600e-01
第2497次迭代：f(x_i)=2.699184843057333e-04, x_1=9.835955907532661e-01,x_2=9.673700729810811e-01
第2498次迭代：f(x_i)=2.694097260737653e-04, x_1=9.835873826501792e-01,x_2=9.674252401546473e-01
第2499次迭代：f(x_i)=2.689020033071269e-04, x_1=9.836265068704976e-01,x_2=9.674310646914438e-01
第2500次迭代：f(x_i)=2.683952058998540e-04, x_1=9.836183142287546e-01,x_2=9.674861261690215e-01
第2501次迭代：f(x_i)=2.678894260711188e-04, x_1=9.836573653366534e-01,x_2=9.674919392297997e-01
第2502次迭代：f(x_i)=2.673846561253217e-04, x_1=9.836491817119470e-01,x_2=9.675468984761435e-01
第2503次迭代：f(x_i)=2.668807371984239e-04, x_1=9.836881662575178e-01,x_2=9.675526968329273e-01
第2504次迭代：f(x_i)=2.663780601900364e-04, x_1=9.836799895659049e-01,x_2=9.676075283572573e-01
第2505次迭代：f(x_i)=2.658761838412576e-04, x_1=9.837188913529621e-01,x_2=9.676133203371766e-01
第2506次迭代：f(x_i)=2.653754019181863e-04, x_1=9.837107336181078e-01,x_2=9.676680450641059e-01
第2507次迭代：f(x_i)=2.648754861646355e-04, x_1=9.837495591825380e-01,x_2=9.676738274458218e-01
第2508次迭代：f(x_i)=2.643766650013371e-04, x_1=9.837414140238827e-01,x_2=9.677284488060753e-01
第2509次迭代：f(x_i)=2.638786289513141e-04, x_1=9.837801698504770e-01,x_2=9.677342183942745e-01
第2510次迭代：f(x_i)=2.633818330208341e-04, x_1=9.837720378838468e-01,x_2=9.677886932462483e-01
第2511次迭代：f(x_i)=2.628860168224155e-04, x_1=9.838106938738541e-01,x_2=9.677944654282563e-01
第2512次迭代：f(x_i)=2.623908900125879e-04, x_1=9.838025914519701e-01,x_2=9.678488717730007e-01
第2513次迭代：f(x_i)=2.618967934396168e-04, x_1=9.838411905841321e-01,x_2=9.678546248159946e-01
第2514次迭代：f(x_i)=2.614038200195541e-04, x_1=9.838330887483761e-01,x_2=9.679088915968003e-01
第2515次迭代：f(x_i)=2.609117818312349e-04, x_1=9.838716009716815e-01,x_2=9.679146408628470e-01
第2516次迭代：f(x_i)=2.604206070478326e-04, x_1=9.838635229852714e-01,x_2=9.679687994695793e-01
第2517次迭代：f(x_i)=2.599305472229673e-04, x_1=9.839019547249791e-01,x_2=9.679745417927264e-01
第2518次迭代：f(x_i)=2.594412350311233e-04, x_1=9.838938874305635e-01,x_2=9.680286417847791e-01
第2519次迭代：f(x_i)=2.589526611721161e-04, x_1=9.839322564796154e-01,x_2=9.680343519195753e-01
第2520次迭代：f(x_i)=2.584650680607266e-04, x_1=9.839242187591630e-01,x_2=9.680883411030654e-01
第2521次迭代：f(x_i)=2.579785255614749e-04, x_1=9.839625017901630e-01,x_2=9.680940473015257e-01
第2522次迭代：f(x_i)=2.574927153760023e-04, x_1=9.839544831598002e-01,x_2=9.681479574705455e-01
第2523次迭代：f(x_i)=2.570078717352292e-04, x_1=9.839927088166520e-01,x_2=9.681536452825448e-01
第2524次迭代：f(x_i)=2.565241614598658e-04, x_1=9.839846892517941e-01,x_2=9.682074341767313e-01
第2525次迭代：f(x_i)=2.560411935717039e-04, x_1=9.840228415072615e-01,x_2=9.682131118390384e-01
第2526次迭代：f(x_i)=2.555593904756830e-04, x_1=9.840148397836992e-01,x_2=9.682667540785481e-01
第2527次迭代：f(x_i)=2.550786289388419e-04, x_1=9.840529135602225e-01,x_2=9.682724404480679e-01
第2528次迭代：f(x_i)=2.545989967307677e-04, x_1=9.840449097565364e-01,x_2=9.683259203841442e-01
第2529次迭代：f(x_i)=2.541204086996559e-04, x_1=9.840828825133645e-01,x_2=9.683316108210414e-01
第2530次迭代：f(x_i)=2.536423496130825e-04, x_1=9.840749066478969e-01,x_2=9.683850503563296e-01
第2531次迭代：f(x_i)=2.531652039962029e-04, x_1=9.841128181865813e-01,x_2=9.683907086252171e-01
第2532次迭代：f(x_i)=2.526888296190444e-04, x_1=9.841048641177452e-01,x_2=9.684440846994473e-01
第2533次迭代：f(x_i)=2.522132561079477e-04, x_1=9.841427270950968e-01,x_2=9.684497205906368e-01
第2534次迭代：f(x_i)=2.517390303413911e-04, x_1=9.841347707777084e-01,x_2=9.685029352909332e-01
第2535次迭代：f(x_i)=2.512656053088193e-04, x_1=9.841725334989380e-01,x_2=9.685085751496636e-01
第2536次迭代：f(x_i)=2.507929371272975e-04, x_1=9.841646115507541e-01,x_2=9.685617042840676e-01
第2537次迭代：f(x_i)=2.503213364515797e-04, x_1=9.842023022873899e-01,x_2=9.685673338503596e-01
第2538次迭代：f(x_i)=2.498505343463738e-04, x_1=9.841943907995880e-01,x_2=9.686203637092518e-01
第2539次迭代：f(x_i)=2.493806840174710e-04, x_1=9.842320156567749e-01,x_2=9.686259799787521e-01
第2540次迭代：f(x_i)=2.489118068596730e-04, x_1=9.842241128450409e-01,x_2=9.686788858167384e-01
第2541次迭代：f(x_i)=2.484438787863055e-04, x_1=9.842616559416002e-01,x_2=9.686844969479470e-01
第2542次迭代：f(x_i)=2.479767394994681e-04, x_1=9.842537694801237e-01,x_2=9.687373267686638e-01
第2543次迭代：f(x_i)=2.475104156369338e-04, x_1=9.842912588099153e-01,x_2=9.687429186437492e-01
第2544次迭代：f(x_i)=2.470453170419251e-04, x_1=9.842833759345780e-01,x_2=9.687955858496868e-01
第2545次迭代：f(x_i)=2.465811627197430e-04, x_1=9.843207844055366e-01,x_2=9.688011882236205e-01
第2546次迭代：f(x_i)=2.461181120339073e-04, x_1=9.843128993588484e-01,x_2=9.688537219312484e-01
第2547次迭代：f(x_i)=2.456558561414946e-04, x_1=9.843502264476904e-01,x_2=9.688593192574837e-01
第2548次迭代：f(x_i)=2.451945175377211e-04, x_1=9.843423620446634e-01,x_2=9.689117497852184e-01
第2549次迭代：f(x_i)=2.447340876069723e-04, x_1=9.843796137668954e-01,x_2=9.689173391038903e-01
第2550次迭代：f(x_i)=2.442745186538096e-04, x_1=9.843717641392230e-01,x_2=9.689696696108877e-01
第2551次迭代：f(x_i)=2.438158432071725e-04, x_1=9.844089464620158e-01,x_2=9.689752479867157e-01
第2552次迭代：f(x_i)=2.433581006557395e-04, x_1=9.844011099367255e-01,x_2=9.690274539623325e-01
第2553次迭代：f(x_i)=2.429013481186912e-04, x_1=9.844382070378610e-01,x_2=9.690330295208835e-01
第2554次迭代：f(x_i)=2.424452486737510e-04, x_1=9.844303887217658e-01,x_2=9.690851754342992e-01
第2555次迭代：f(x_i)=2.419899623728311e-04, x_1=9.844674177046492e-01,x_2=9.690907238325754e-01
第2556次迭代：f(x_i)=2.415353732826976e-04, x_1=9.844596317168531e-01,x_2=9.691427867951959e-01
第2557次迭代：f(x_i)=2.410818230508718e-04, x_1=9.844965916063502e-01,x_2=9.691483243769190e-01
第2558次迭代：f(x_i)=2.406290394829614e-04, x_1=9.844888146066932e-01,x_2=9.692002908752309e-01
第2559次迭代：f(x_i)=2.401771557299686e-04, x_1=9.845257112628134e-01,x_2=9.692058147592298e-01
第2560次迭代：f(x_i)=2.397262327707314e-04, x_1=9.845179416428188e-01,x_2=9.692576604426586e-01
第2561次迭代：f(x_i)=2.392761824023083e-04, x_1=9.845547593279365e-01,x_2=9.692631787099769e-01
第2562次迭代：f(x_i)=2.388269386917908e-04, x_1=9.845470088444765e-01,x_2=9.693149232313504e-01
第2563次迭代：f(x_i)=2.383786520495078e-04, x_1=9.845837534110999e-01,x_2=9.693204330040608e-01
第2564次迭代：f(x_i)=2.379311427941058e-04, x_1=9.845760163557284e-01,x_2=9.693720794381813e-01
第2565次迭代：f(x_i)=2.374845511545508e-04, x_1=9.846126936101027e-01,x_2=9.693775778618776e-01
第2566次迭代：f(x_i)=2.370388307789429e-04, x_1=9.846049668453650e-01,x_2=9.694291124033164e-01
第2567次迭代：f(x_i)=2.365940102003877e-04, x_1=9.846415693007067e-01,x_2=9.694346033700915e-01
第2568次迭代：f(x_i)=2.361499883446461e-04, x_1=9.846338579194178e-01,x_2=9.694860392451462e-01
第2569次迭代：f(x_i)=2.357068707405379e-04, x_1=9.846703913436043e-01,x_2=9.694915199197492e-01
第2570次迭代：f(x_i)=2.352646012958379e-04, x_1=9.846626897191971e-01,x_2=9.695428601600701e-01
第2571次迭代：f(x_i)=2.348231194457950e-04, x_1=9.846991598367369e-01,x_2=9.695483277292986e-01
第2572次迭代：f(x_i)=2.343826554152237e-04, x_1=9.846914664573823e-01,x_2=9.695995482210688e-01
第2573次迭代：f(x_i)=2.339429731834662e-04, x_1=9.847278576216324e-01,x_2=9.696050107170527e-01
第2574次迭代：f(x_i)=2.335041367285213e-04, x_1=9.847201841871493e-01,x_2=9.696561308508608e-01
第2575次迭代：f(x_i)=2.330661867985310e-04, x_1=9.847565021167306e-01,x_2=9.696615854628260e-01
第2576次迭代：f(x_i)=2.326290311427866e-04, x_1=9.847488430505382e-01,x_2=9.697126082435097e-01
第2577次迭代：f(x_i)=2.321927471128293e-04, x_1=9.847850934183070e-01,x_2=9.697180521839402e-01
第2578次迭代：f(x_i)=2.317573247265116e-04, x_1=9.847774431868913e-01,x_2=9.697689805938904e-01
第2579次迭代：f(x_i)=2.313226410270464e-04, x_1=9.848136316236229e-01,x_2=9.697744110966589e-01
第2580次迭代：f(x_i)=2.308890034411593e-04, x_1=9.848059912850805e-01,x_2=9.698252045383212e-01
第2581次迭代：f(x_i)=2.304562221081288e-04, x_1=9.848420891101189e-01,x_2=9.698306362474437e-01
第2582次迭代：f(x_i)=2.300240535291640e-04, x_1=9.848344743785221e-01,x_2=9.698813674675402e-01
第2583次迭代：f(x_i)=2.295927426319367e-04, x_1=9.848705214624587e-01,x_2=9.698867802426709e-01
第2584次迭代：f(x_i)=2.291624612849077e-04, x_1=9.848629056829118e-01,x_2=9.699373825458646e-01
第2585次迭代：f(x_i)=2.287329215752832e-04, x_1=9.848988733940236e-01,x_2=9.699427910052536e-01
第2586次迭代：f(x_i)=2.283042130201768e-04, x_1=9.848912787908666e-01,x_2=9.699932935228462e-01
第2587次迭代：f(x_i)=2.278763794041569e-04, x_1=9.849271727188157e-01,x_2=9.699986949203516e-01
第2588次迭代：f(x_i)=2.274492949838751e-04, x_1=9.849195938426177e-01,x_2=9.700491005896896e-01
第2589次迭代：f(x_i)=2.270231032683440e-04, x_1=9.849554195315223e-01,x_2=9.700544922023061e-01
第2590次迭代：f(x_i)=2.265976935803192e-04, x_1=9.849478509757842e-01,x_2=9.701048039383761e-01
第2591次迭代：f(x_i)=2.261730803939791e-04, x_1=9.849836139277814e-01,x_2=9.701101830644269e-01
第2592次迭代：f(x_i)=2.257493952509358e-04, x_1=9.849760543342146e-01,x_2=9.701603771440489e-01
第2593次迭代：f(x_i)=2.253265194300891e-04, x_1=9.850117390595281e-01,x_2=9.701657517316391e-01
第2594次迭代：f(x_i)=2.249043865671144e-04, x_1=9.850041960341652e-01,x_2=9.702158736819876e-01
第2595次迭代：f(x_i)=2.244829641010958e-04, x_1=9.850398289407939e-01,x_2=9.702212304230915e-01
第2596次迭代：f(x_i)=2.240626538645573e-04, x_1=9.850322906904249e-01,x_2=9.702711976502836e-01
第2597次迭代：f(x_i)=2.236431989843652e-04, x_1=9.850678454841043e-01,x_2=9.702765651095346e-01
第2598次迭代：f(x_i)=2.232247109731828e-04, x_1=9.850603071701921e-01,x_2=9.703264049913288e-01
第2599次迭代：f(x_i)=2.228069857870273e-04, x_1=9.850957827760995e-01,x_2=9.703317686654978e-01
第2600次迭代：f(x_i)=2.223900134626156e-04, x_1=9.850882664600723e-01,x_2=9.703815098818653e-01
第2601次迭代：f(x_i)=2.219739556984135e-04, x_1=9.851236683100073e-01,x_2=9.703868671039277e-01
第2602次迭代：f(x_i)=2.215585480072145e-04, x_1=9.851161686976854e-01,x_2=9.704365125096205e-01
第2603次迭代：f(x_i)=2.211440962651247e-04, x_1=9.851515021786420e-01,x_2=9.704418606353034e-01
第2604次迭代：f(x_i)=2.207303014292716e-04, x_1=9.851440140181460e-01,x_2=9.704914130630561e-01
第2605次迭代：f(x_i)=2.203173951071344e-04, x_1=9.851792844757262e-01,x_2=9.704967494691055e-01
第2606次迭代：f(x_i)=2.199052606963866e-04, x_1=9.851718025541001e-01,x_2=9.705462117313504e-01
第2607次迭代：f(x_i)=2.194938399170023e-04, x_1=9.852070152958741e-01,x_2=9.705515338138268e-01
第2608次迭代：f(x_i)=2.190834126603633e-04, x_1=9.851995384096299e-01,x_2=9.706008824761867e-01
第2609次迭代：f(x_i)=2.186736327110277e-04, x_1=9.852346780139781e-01,x_2=9.706061981452272e-01
第2610次迭代：f(x_i)=2.182647444411318e-04, x_1=9.852272177331390e-01,x_2=9.706554518116323e-01
第2611次迭代：f(x_i)=2.178565453083592e-04, x_1=9.852622895045400e-01,x_2=9.706607584643142e-01
第2612次迭代：f(x_i)=2.174492430884229e-04, x_1=9.852548406582464e-01,x_2=9.707099199245008e-01
第2613次迭代：f(x_i)=2.170425655374809e-04, x_1=9.852898498604483e-01,x_2=9.707152149785796e-01
第2614次迭代：f(x_i)=2.166368955433278e-04, x_1=9.852824137164824e-01,x_2=9.707642448020892e-01
第2615次迭代：f(x_i)=2.162320239956023e-04, x_1=9.853173322678849e-01,x_2=9.707695425870064e-01
第2616次迭代：f(x_i)=2.158276891236206e-04, x_1=9.853099242367791e-01,x_2=9.708185111073653e-01
第2617次迭代：f(x_i)=2.154242217917101e-04, x_1=9.853447906804750e-01,x_2=9.708237921622416e-01
第2618次迭代：f(x_i)=2.150216111994086e-04, x_1=9.853373851235230e-01,x_2=9.708726347132343e-01
第2619次迭代：f(x_i)=2.146198311551192e-04, x_1=9.853721714332355e-01,x_2=9.708779133385553e-01
第2620次迭代：f(x_i)=2.142186488652256e-04, x_1=9.853647837623061e-01,x_2=9.709266999569147e-01
第2621次迭代：f(x_i)=2.138181584420606e-04, x_1=9.853995058052073e-01,x_2=9.709319533975480e-01
第2622次迭代：f(x_i)=2.134182883254406e-04, x_1=9.853921492951273e-01,x_2=9.709806625849575e-01
第2623次迭代：f(x_i)=2.130193243536228e-04, x_1=9.854268060780090e-01,x_2=9.709859062270074e-01
第2624次迭代：f(x_i)=2.126210221762024e-04, x_1=9.854194591288226e-01,x_2=9.710345251184027e-01
第2625次迭代：f(x_i)=2.122235274232272e-04, x_1=9.854540557911659e-01,x_2=9.710397564419896e-01
第2626次迭代：f(x_i)=2.118268378968994e-04, x_1=9.854467172923368e-01,x_2=9.710882619629361e-01
第2627次迭代：f(x_i)=2.114309630714671e-04, x_1=9.854812386108279e-01,x_2=9.710934887738285e-01
第2628次迭代：f(x_i)=2.110357228904806e-04, x_1=9.854739161126642e-01,x_2=9.711419249101030e-01
第2629次迭代：f(x_i)=2.106412041951885e-04, x_1=9.855083875110323e-01,x_2=9.711471344023580e-01
第2630次迭代：f(x_i)=2.102476647001481e-04, x_1=9.855010698064876e-01,x_2=9.711954210740337e-01
第2631次迭代：f(x_i)=2.098549853831783e-04, x_1=9.855354655201375e-01,x_2=9.712006410528493e-01
第2632次迭代：f(x_i)=2.094631420523066e-04, x_1=9.855281483133262e-01,x_2=9.712488045673813e-01
第2633次迭代：f(x_i)=2.090720836645071e-04, x_1=9.855624669518512e-01,x_2=9.712540211668326e-01
第2634次迭代：f(x_i)=2.086816475634154e-04, x_1=9.855551694146338e-01,x_2=9.713021050053314e-01
第2635次迭代：f(x_i)=2.082920278490972e-04, x_1=9.855894285484443e-01,x_2=9.713073094016975e-01
第2636次迭代：f(x_i)=2.079031690111248e-04, x_1=9.855821380476969e-01,x_2=9.713552909052605e-01
第2637次迭代：f(x_i)=2.075150587708471e-04, x_1=9.856163302012645e-01,x_2=9.713604869739637e-01
第2638次迭代：f(x_i)=2.071276941430729e-04, x_1=9.856090519347195e-01,x_2=9.714083782963782e-01
第2639次迭代：f(x_i)=2.067410384703241e-04, x_1=9.856431821097406e-01,x_2=9.714135635863920e-01
第2640次迭代：f(x_i)=2.063552107748021e-04, x_1=9.856359150737271e-01,x_2=9.714613419098312e-01
第2641次迭代：f(x_i)=2.059701569082685e-04, x_1=9.856699681257505e-01,x_2=9.714665241839294e-01
第2642次迭代：f(x_i)=2.055857067650764e-04, x_1=9.856627198470850e-01,x_2=9.715142328751268e-01
第2643次迭代：f(x_i)=2.052019990085809e-04, x_1=9.856967208457122e-01,x_2=9.715193995078976e-01
第2644次迭代：f(x_i)=2.048191701237660e-04, x_1=9.856894741114992e-01,x_2=9.715670005217000e-01
第2645次迭代：f(x_i)=2.044369555122891e-04, x_1=9.857234079141396e-01,x_2=9.715721592744372e-01
第2646次迭代：f(x_i)=2.040555888374534e-04, x_1=9.857161741250590e-01,x_2=9.716196704799932e-01
第2647次迭代：f(x_i)=2.036748136610492e-04, x_1=9.857500456588678e-01,x_2=9.716248189389407e-01
第2648次迭代：f(x_i)=2.032949508315262e-04, x_1=9.857428262414726e-01,x_2=9.716722020552989e-01
第2649次迭代：f(x_i)=2.029158830716795e-04, x_1=9.857766080829528e-01,x_2=9.716773542062055e-01
第2650次迭代：f(x_i)=2.025372441016918e-04, x_1=9.857694142975929e-01,x_2=9.717247024596032e-01
第2651次迭代：f(x_i)=2.021593117429908e-04, x_1=9.858031417545897e-01,x_2=9.717298261075776e-01
第2652次迭代：f(x_i)=2.017819860285562e-04, x_1=9.857959680314009e-01,x_2=9.717771189655702e-01
第2653次迭代：f(x_i)=2.014052909286322e-04, x_1=9.858296523468401e-01,x_2=9.717822228763644e-01
第2654次迭代：f(x_i)=2.010296392582617e-04, x_1=9.858224779423804e-01,x_2=9.718293726120367e-01
第2655次迭代：f(x_i)=2.006546447101045e-04, x_1=9.858560719693367e-01,x_2=9.718344807678782e-01
第2656次迭代：f(x_i)=2.002801924527284e-04, x_1=9.858489279620105e-01,x_2=9.718815701338053e-01
第2657次迭代：f(x_i)=1.999065277225855e-04, x_1=9.858824686595113e-01,x_2=9.718866638835576e-01
第2658次迭代：f(x_i)=1.995336337747507e-04, x_1=9.858753267514500e-01,x_2=9.719336555352955e-01
第2659次迭代：f(x_i)=1.991613681521784e-04, x_1=9.859088066844669e-01,x_2=9.719387387307934e-01
第2660次迭代：f(x_i)=1.987899514077303e-04, x_1=9.859016758781931e-01,x_2=9.719856195413491e-01
第2661次迭代：f(x_i)=1.984192276691589e-04, x_1=9.859350801013553e-01,x_2=9.719906998405294e-01
第2662次迭代：f(x_i)=1.980491338138957e-04, x_1=9.859279678665571e-01,x_2=9.720375123208034e-01
第2663次迭代：f(x_i)=1.976797064670250e-04, x_1=9.859613208817823e-01,x_2=9.720425773875464e-01
第2664次迭代：f(x_i)=1.973111693781043e-04, x_1=9.859542104251344e-01,x_2=9.720892841547394e-01
第2665次迭代：f(x_i)=1.969431809776132e-04, x_1=9.859874972903340e-01,x_2=9.720943416447907e-01
第2666次迭代：f(x_i)=1.965760466166988e-04, x_1=9.859804059986972e-01,x_2=9.721409200111560e-01
第2667次迭代：f(x_i)=1.962097565264683e-04, x_1=9.860136211909883e-01,x_2=9.721459869693051e-01
第2668次迭代：f(x_i)=1.958442099331224e-04, x_1=9.860065270640954e-01,x_2=9.721924625357585e-01
第2669次迭代：f(x_i)=1.954793006106761e-04, x_1=9.860396810131933e-01,x_2=9.721975195933052e-01
第2670次迭代：f(x_i)=1.951151883414785e-04, x_1=9.860325976753592e-01,x_2=9.722438944615052e-01
第2671次迭代：f(x_i)=1.947517275781360e-04, x_1=9.860656829626554e-01,x_2=9.722489454599285e-01
第2672次迭代：f(x_i)=1.943889705354147e-04, x_1=9.860586156107908e-01,x_2=9.722952313153533e-01
第2673次迭代：f(x_i)=1.940269083322472e-04, x_1=9.860916369288206e-01,x_2=9.723002739581212e-01
第2674次迭代：f(x_i)=1.936655451910581e-04, x_1=9.860845809931077e-01,x_2=9.723464732718926e-01
第2675次迭代：f(x_i)=1.933048321949896e-04, x_1=9.861175429983966e-01,x_2=9.723515052807205e-01
第2676次迭代：f(x_i)=1.929449010262932e-04, x_1=9.861104977044239e-01,x_2=9.723975958988625e-01
第2677次迭代：f(x_i)=1.925856764301263e-04, x_1=9.861433855427175e-01,x_2=9.724026248823534e-01
第2678次迭代：f(x_i)=1.922270268372457e-04, x_1=9.861363583403050e-01,x_2=9.724486486301616e-01
第2679次迭代：f(x_i)=1.918690539226731e-04, x_1=9.861691961078969e-01,x_2=9.724536624588583e-01
第2680次迭代：f(x_i)=1.915119115026363e-04, x_1=9.861621705324534e-01,x_2=9.724995824735037e-01
第2681次迭代：f(x_i)=1.911553292248498e-04, x_1=9.861949433796858e-01,x_2=9.725045887531578e-01
第2682次迭代：f(x_i)=1.907995439230763e-04, x_1=9.861879306423619e-01,x_2=9.725504222089685e-01
第2683次迭代：f(x_i)=1.904443039410613e-04, x_1=9.862206431595665e-01,x_2=9.725554186943086e-01
第2684次迭代：f(x_i)=1.900899129291888e-04, x_1=9.862136448407267e-01,x_2=9.726011284891181e-01
第2685次迭代：f(x_i)=1.897362669693751e-04, x_1=9.862462702870566e-01,x_2=9.726061288099541e-01
第2686次迭代：f(x_i)=1.893830073886994e-04, x_1=9.862392974214238e-01,x_2=9.726518049728408e-01
第2687次迭代：f(x_i)=1.890304235824240e-04, x_1=9.862718698747769e-01,x_2=9.726567780441367e-01
第2688次迭代：f(x_i)=1.886783791397281e-04, x_1=9.862649170497815e-01,x_2=9.727024007428547e-01
第2689次迭代：f(x_i)=1.883269522257540e-04, x_1=9.862974473676219e-01,x_2=9.727073550436047e-01
第2690次迭代：f(x_i)=1.879764579690071e-04, x_1=9.862904947171306e-01,x_2=9.727528393892537e-01
第2691次迭代：f(x_i)=1.876266217781347e-04, x_1=9.863229580564595e-01,x_2=9.727578014326009e-01
第2692次迭代：f(x_i)=1.872776672118489e-04, x_1=9.863160058592821e-01,x_2=9.728031477173102e-01
第2693次迭代：f(x_i)=1.869294158722899e-04, x_1=9.863483811323658e-01,x_2=9.728081144195058e-01
第2694次迭代：f(x_i)=1.865815583892556e-04, x_1=9.863414559069409e-01,x_2=9.728534265536233e-01
第2695次迭代：f(x_i)=1.862343683657829e-04, x_1=9.863737769364594e-01,x_2=9.728583670645807e-01
第2696次迭代：f(x_i)=1.858876904984769e-04, x_1=9.863668732970071e-01,x_2=9.729036253717922e-01
第2697次迭代：f(x_i)=1.855416549491491e-04, x_1=9.863991508625151e-01,x_2=9.729085481051750e-01
第2698次迭代：f(x_i)=1.851964865274597e-04, x_1=9.863922454377119e-01,x_2=9.729536924200911e-01
第2699次迭代：f(x_i)=1.848518524523532e-04, x_1=9.864244530711574e-01,x_2=9.729586108642794e-01
第2700次迭代：f(x_i)=1.845079358474739e-04, x_1=9.864175664696733e-01,x_2=9.730036670100202e-01
第2701次迭代：f(x_i)=1.841646567072985e-04, x_1=9.864497086333071e-01,x_2=9.730085789834314e-01
第2702次迭代：f(x_i)=1.838220277296706e-04, x_1=9.864428365124323e-01,x_2=9.730535493106458e-01
第2703次迭代：f(x_i)=1.834800576159557e-04, x_1=9.864749176326089e-01,x_2=9.730584526498720e-01
第2704次迭代：f(x_i)=1.831387515513688e-04, x_1=9.864680556836375e-01,x_2=9.731033394915215e-01
第2705次迭代：f(x_i)=1.827980451362147e-04, x_1=9.865000801533570e-01,x_2=9.731082320500412e-01
第2706次迭代：f(x_i)=1.824580967301101e-04, x_1=9.864932300217055e-01,x_2=9.731529990170900e-01
第2707次迭代：f(x_i)=1.821188965598662e-04, x_1=9.865251922347567e-01,x_2=9.731578973517786e-01
第2708次迭代：f(x_i)=1.817804727560246e-04, x_1=9.865183390421669e-01,x_2=9.732025302560890e-01
第2709次迭代：f(x_i)=1.814427751017298e-04, x_1=9.865502180625018e-01,x_2=9.732074314103677e-01
第2710次迭代：f(x_i)=1.811054455895723e-04, x_1=9.865433880159862e-01,x_2=9.732520325632925e-01
